turnover,total_time,avg_hour,cluster,zone_name,lat,lng,spotId
7,23182.6043,18.8125,2,Long-Stay Zone,43.593,-79.6425,1
7,35.92248333333334,17.818181818181817,1,Inactive Zone,43.59310000000001,-79.6424,2
5,9923.530416666666,17.571428571428573,1,Inactive Zone,43.5932,-79.64229999999999,3
5,9912.365916666666,17.818181818181817,1,Inactive Zone,43.593300000000006,-79.6422,4
9,9915.366233333334,17.416666666666668,0,Prime Shopping Zone,43.5934,-79.6421,5
8,9937.168783333333,17.8125,0,Prime Shopping Zone,43.593500000000006,-79.642,6
6,40.950383333333335,17.3,1,Inactive Zone,43.5936,-79.64189999999999,7
5,32.19016666666667,17.625,1,Inactive Zone,43.593700000000005,-79.6418,8
5,63.0308,17.571428571428573,1,Inactive Zone,43.5938,-79.6417,9
3,31.333583333333333,18.0,1,Inactive Zone,43.593900000000005,-79.6416,10
9,9941.774366666668,17.833333333333332,0,Prime Shopping Zone,43.594,-79.6415,11
10,9925.675183333335,17.63157894736842,0,Prime Shopping Zone,43.594100000000005,-79.6414,12
8,34.913866666666664,17.727272727272727,1,Inactive Zone,43.5942,-79.6413,13
4,25.81676666666667,17.636363636363637,1,Inactive Zone,43.594300000000004,-79.6412,14
7,9941.1673,17.833333333333332,0,Prime Shopping Zone,43.5944,-79.6411,15
4,9931.818150000001,17.8,1,Inactive Zone,43.594500000000004,-79.641,16
7,9954.472266666668,17.473684210526315,0,Prime Shopping Zone,43.59460000000001,-79.6409,17
8,3373.4575666666665,17.642857142857142,0,Prime Shopping Zone,43.5947,-79.6408,18
6,9943.319599999999,17.333333333333332,0,Prime Shopping Zone,43.594800000000006,-79.6407,19
6,39.708733333333335,17.833333333333332,1,Inactive Zone,43.5949,-79.64059999999999,20
4,3382.422433333333,17.384615384615383,1,Inactive Zone,43.595000000000006,-79.6405,21
7,9932.875966666666,17.842105263157894,0,Prime Shopping Zone,43.5951,-79.6404,22
3,20.27235,18.4,1,Inactive Zone,43.595200000000006,-79.6403,23
5,45.70655,18.066666666666663,1,Inactive Zone,43.5953,-79.6402,24
3,59.0583,18.125,1,Inactive Zone,43.595400000000005,-79.6401,25
12,9936.33455,17.904761904761905,0,Prime Shopping Zone,43.5955,-79.64,26
8,51.1539,17.555555555555557,1,Inactive Zone,43.595600000000005,-79.6399,27
8,9941.249433333334,17.6875,0,Prime Shopping Zone,43.5957,-79.6398,28
7,42.87688333333333,17.75,1,Inactive Zone,43.595800000000004,-79.6397,29
8,46.10855,18.142857142857142,1,Inactive Zone,43.5959,-79.6396,30
