turnover,total_time,avg_hour
7,16 days 02:22:36.258000,18.8125
9,0 days 04:22:54.617000,18.384615384615383
7,7 days 00:57:05.399000,18.5
8,7 days 00:47:15.949000,19.0
10,7 days 00:57:34.404000,18.5
9,7 days 01:08:34.245000,18.0
8,0 days 04:04:49.259000,18.23076923076923
7,0 days 00:42:58.045000,18.818181818181817
8,0 days 04:43:47.217000,18.5
5,0 days 00:40:05.179000,19.25
10,6 days 21:55:18.806000,18.25
13,7 days 00:57:55.276000,18.304347826086957
10,0 days 04:08:28.404000,18.307692307692307
8,0 days 04:05:15.833000,19.0
9,6 days 21:50:15.127000,18.6
6,6 days 21:50:44.259000,18.68421052631579
11,6 days 21:59:59.215000,18.217391304347824
9,2 days 11:59:35.640000,18.41176470588235
8,6 days 21:51:28.442000,18.705882352941178
10,0 days 00:50:43.431000,19.0
6,2 days 08:26:50.503000,18.352941176470587
9,6 days 21:40:32.268000,18.565217391304348
4,0 days 04:10:22.155000,19.88888888888889
7,0 days 04:35:14.332000,18.842105263157894
4,0 days 01:08:23.852000,18.9
14,6 days 21:47:57.500000,18.375
9,0 days 01:11:31.523000,18.8
11,7 days 01:15:25.462000,18.45
11,0 days 04:21:42.856000,19.35
10,0 days 00:58:32.952000,18.764705882352942
